scientificName,kingdom
Lasiomma japonicum,Animalia
Botanophila trapezina,Animalia
Aphanotrigonum cinctellum,Animalia
Eurina lurida,Animalia
Gaurax fascipes,Animalia
Lasiambia brevibucca,Animalia
Meromyza elbergi,Animalia
Eupeodes duseki,Animalia
Parasyrphus proximus,Animalia
Amaurosoma armillatum,Animalia
Beris strobli,Animalia
Microchrysa cyaneiventris,Animalia
Odontomyia microleon,Animalia
Notiphila venusta,Animalia
Limnellia stenhammari,Animalia
Chetogena obliquata,Animalia
Cyrtophloeba ruricola,Animalia
Solieria pacifica,Animalia
Systenus bipartitus,Animalia
Sympycnus spiculatus,Animalia
Systenus pallipes,Animalia
Teratocoris,Animalia
Salda,Animalia
Chiloxanthus,Animalia
Micracanthia,Animalia
Criocoris,Animalia
Trigonotylus,Animalia
Zygimus,Animalia
Gymnopternus,Animalia
Medetera,Animalia
Neurigona,Animalia
Hilara,Animalia
Dolichocephala,Animalia
Platypalpus,Animalia
Bicellaria,Animalia
Chlamys,Animalia
Heteranomia,Animalia
Ennucula,Animalia
Sphaerium,Animalia
Pisidium,Animalia
Thyasira,Animalia
Cuspidaria,Animalia
Axinopsida,Animalia
Sepiola,Animalia
Sepietta,Animalia
Eledona,Animalia
Thracia,Animalia
Leptochiton,Animalia
Ischnochiton,Animalia
Hanleya,Animalia
Callima libanotica,Animalia
Callima kos,Animalia
Batia,Animalia
Callima klimeschi,Animalia
Callima,Animalia
Callima levantina,Animalia
Callima icterinella,Animalia
Ypsolopha vitellus,Animalia
Stangeia,Animalia
Psyche,Animalia
Coleophora,Animalia
Lepidoptera,Animalia
Pleurota,Animalia
Ypsolopha,Animalia
Pterostichus impressicollis,Animalia
Pterostichus phaeopus,Animalia
Pterostichus pilosus,Animalia
Nebula,Animalia
Pterostichus schaschli,Animalia
Syntomus fuscomaculatus,Animalia
Pterostichus tenuimarginatus,Animalia
Reicheiodes alpicola,Animalia
Siagona dejeani,Animalia
Stenochoromus montenegrinus,Animalia
Pterostichus reiseri,Animalia
Pterostichus justusii,Animalia
Reicheidius frondicola,Animalia
Pterostichus grajus,Animalia
Speluncarius anophthalmus,Animalia
Molops,Animalia
Epaphius ovatus,Animalia
Pterostichus hungaricus,Animalia
Pterostichus foveolatus,Animalia
Pterostichus impressus,Animalia
Tapinopterus cognatus,Animalia
Epaphius ochreatus,Animalia
Trechus bosnicus,Animalia
Pterostichus findelii,Animalia
Myzostoma glabrum,Animalia
Abax,Animalia
Anthaxia hackeri,Animalia
Acupalpus notatus,Animalia
Agonum impressum,Animalia
Amara fusca,Animalia
Amara cuniculina,Animalia
Amara glabrata,Animalia
Anthaxia olivieri,Animalia
Amara schimperi,Animalia
Amara nobilis,Animalia
Amara montana,Animalia
Amara erythrocnema,Animalia
Amblystomus mauritanicus,Animalia
Amara misella,Animalia
Acmaeoderella virgulata,Animalia
Agonum sordidum,Animalia
Amara alpestris,Animalia
Amara cardui,Animalia
Amara rufoaenea,Animalia
Bembidion brunnicornis,Animalia
Bembidion dufourii,Animalia
Brachinus bellicosus,Animalia
Brachinus immaculicornis,Animalia
Brachinus psophia,Animalia
Bembidion laticolle,Animalia
Brachinus nigricornis,Animalia
Bembidion reiseri,Animalia
Platynus cyaneus,Animalia
Broscus politus,Animalia
Carabus bertolinii,Animalia
Bembidion foraminosum,Animalia
Meliboeus amethystinus,Animalia
Broscosoma baldense,Animalia
Bembidion lunatum,Animalia
Brachinus italicus,Animalia
Carabus excellens,Animalia
Carabus planicollis,Animalia
Carabus kollari,Animalia
Amara samnitica,Animalia
Carabus vagans,Animalia
Carabus trojanus,Animalia
Cymindis miliaris,Animalia
Chlaenius festivus,Animalia
Cicindela concolor,Animalia
Cicindela soluta,Animalia
Carabus lefebvrei,Animalia
Acupalpus suturalis,Animalia
Aporrhais serresianus,Animalia
Carabus graecus,Animalia
Amara brevis,Animalia
Duvalius procerus,Animalia
Cychrus angustatus,Animalia
Cylindera paludosa,Animalia
Clivina laevifrons,Animalia
Harpalus cupreus,Animalia
Harpalus oblitus,Animalia
Dyschirius apicalis,Animalia
Dyschirius bacillus,Animalia
Harpalus pygmaeus,Animalia
Lebia scapularis,Animalia
Laemostenus elongatus,Animalia
Leistus barnevillei,Animalia
Leistus gracilis,Animalia
Cymindis scapularis,Animalia
Laemostenus schreibersi,Animalia
Lebia cyanocephala,Animalia
Laemostenus dalmatinus,Animalia
Leistus apfelbecki,Animalia
Molops obtusangulus,Animalia
Lonchosternus hispanicus,Animalia
Lionychus albonotatus,Animalia
Epaphius rivularis,Animalia
Harpalus zabroides,Animalia
Microlestes luctuosus,Animalia
Nebria fasciatopunctata,Animalia
Cychrus cordicollis,Animalia
Nebria dejeanii,Animalia
Nebria carpathica,Animalia
Dyschirius impunctipennis,Animalia
Clivina ypsilon,Animalia
Nebria bosnica,Animalia
Nebria transsylvanica,Animalia
Olisthopus glabricollis,Animalia
Nebria schusteri,Animalia
Harpalus karamani,Animalia
Dyschirius laeviusculus,Animalia
Nebria reichii,Animalia
Platyderus neapolitanus,Animalia
Nebria speiseri,Animalia
Platynus complanatus,Animalia
Platynus glacialis,Animalia
Poecilus cursorius,Animalia
Nebria kratteri,Animalia
Nebria atrata,Animalia
Pedius inquinatus,Animalia
Pogonus peisonis,Animalia
Percus paykullii,Animalia
Nebria posthuma,Animalia
Platynus teriolensis,Animalia
Pterostichus amblypterus,Animalia
Percus corrugatus,Animalia
Pterostichus externepunctatus,Animalia
Pterostichus ebenus,Animalia
Neotrechus dalmatinus,Animalia
Pterostichus cribratus,Animalia
Poecilus gisellae,Animalia
Percus dejeanii,Animalia
Phascolion,Animalia
Bathyvermilia,Animalia
Onchnesoma steenstrupi,Animalia
Aponuphis,Animalia
Bonelliidae,Animalia
Onuphis,Animalia
Apomatus globifera,Animalia
Spiochaetopterus,Animalia
Circeis,Animalia
Paradiopatra,Animalia
Travisia,Animalia
