occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,Lasiomma japonicum,"Lasiomma japonicum Suwa, 1971",1574745,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Diptera,Anthomyiidae,Lasiomma,Lasiomma japonicum,Lasiomma japonicum,"Suwa, 1971",1574745,
,Botanophila trapezina,"Botanophila trapezina (Zetterstedt, 1845)",1575835,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Diptera,Anthomyiidae,Botanophila,Botanophila trapezina,Botanophila trapezina,"(Zetterstedt, 1845) ",1575835,
,Aphanotrigonum cinctellum,"Aphanotrigonum cinctellum (Zetterstedt, 1848)",1492293,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Diptera,Chloropidae,Aphanotrigonum,Aphanotrigonum cinctellum,Aphanotrigonum cinctellum,"(Zetterstedt, 1848) ",1492293,
,Eurina lurida,"Eurina lurida Meigen, 1830",1492883,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Diptera,Chloropidae,Eurina,Eurina lurida,Eurina lurida,"Meigen, 1830",1492883,
,Gaurax fascipes,"Gaurax fascipes Becker, 1910",1491484,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Diptera,Chloropidae,Gaurax,Gaurax fascipes,Gaurax fascipes,"Becker, 1910",1491484,
,Lasiambia brevibucca,"Lasiambia brevibucca (Duda, 1933)",4514673,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Diptera,Chloropidae,Lasiambia,Lasiambia brevibucca,Lasiambia brevibucca,"(Duda, 1933) ",4514673,
,Meromyza elbergi,"Meromyza elbergi Fedoseeva, 1979",1490132,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Diptera,Chloropidae,Meromyza,Meromyza elbergi,Meromyza elbergi,"Fedoseeva, 1979",1490132,
,Eupeodes duseki,"Eupeodes duseki Mazanek, Láska & Bičík, 1999",1540710,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Eupeodes,Eupeodes duseki,Eupeodes duseki,"Mazanek, Láska & Bičík, 1999",1540710,
,Parasyrphus proximus,"Parasyrphus proximus Mutin, 1991",1533080,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Parasyrphus,Parasyrphus proximus,Parasyrphus proximus,"Mutin, 1991",1533080,
,Amaurosoma armillatum,"Amaurosoma armillatum (Zetterstedt, 1846)",10475222,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Diptera,Scathophagidae,Amaurosoma,Amaurosoma armillatum,Amaurosoma armillatum,"(Zetterstedt, 1846) ",10475222,
