verbatimScientificName
Cyrtophloeba ruricola
Ypsolopha vitellus
Bembidion brunnicornis
Platynus cyaneus
Aporrhais serresianus
Laemostenus schreibersi
Onchnesoma steenstrupi
Apomatus globifera
Cyclodinus salinus
Ancistronycha violacea
Malthinus turcicus
Rhagonycha femoralis
Rhagonycha varians
Coccinella saucerottei
Scymnus araraticus
Scymnus rufipes
Dermestes gyllenhali
Procas granillicollis
Cerallus rubidius
Sphinginus apicalis
Aplota palpellus
Aricidea parabelgica
Aricidea albatrossa
Aricidea cf. parabelgica
