verbatimScientificName	description
Lasiomma japonicum	https://www.gbif.org/species/1574745
Botanophila trapezina	https://www.gbif.org/species/1575835
Aphanotrigonum cinctellum	https://www.gbif.org/species/1492293
Eurina lurida	https://www.gbif.org/species/1492883
Gaurax fascipes	https://www.gbif.org/species/1491484
Lasiambia brevibucca	https://www.gbif.org/species/4514673
Meromyza elbergi	https://www.gbif.org/species/1490132
Eupeodes duseki	https://www.gbif.org/species/1540710
Parasyrphus proximus	https://www.gbif.org/species/1533080
Amaurosoma armillatum	https://www.gbif.org/species/10475222
Beris strobli	https://www.gbif.org/species/1580636
Microchrysa cyaneiventris	https://www.gbif.org/species/1578598
Odontomyia microleon	https://www.gbif.org/species/1580869
Notiphila venusta	https://www.gbif.org/species/1617848
Limnellia stenhammari	https://www.gbif.org/species/1619627
Chetogena obliquata	https://www.gbif.org/species/1468617
Solieria pacifica	https://www.gbif.org/species/1466705
Systenus bipartitus	https://www.gbif.org/species/1604398
Sympycnus spiculatus	https://www.gbif.org/species/1608900
Systenus pallipes	https://www.gbif.org/species/1604401
Callima libanotica	https://www.gbif.org/species/8697176
Callima kos	https://www.gbif.org/species/8697176
Callima klimeschi	https://www.gbif.org/species/8697176
Callima levantina	https://www.gbif.org/species/8697176
Callima icterinella	https://www.gbif.org/species/8697176
Pterostichus impressicollis	https://www.gbif.org/species/8134484
Pterostichus phaeopus	https://www.gbif.org/species/8131814
Pterostichus pilosus	https://www.gbif.org/species/8099073
Pterostichus schaschli	https://www.gbif.org/species/7639015
Syntomus fuscomaculatus	https://www.gbif.org/species/4479876
Pterostichus tenuimarginatus	https://www.gbif.org/species/7430831
Reicheiodes alpicola	https://www.gbif.org/species/4479476
Siagona dejeani	https://www.gbif.org/species/8293730
Stenochoromus montenegrinus	https://www.gbif.org/species/4472675
Pterostichus reiseri	https://www.gbif.org/species/7816165
Pterostichus justusii	https://www.gbif.org/species/8315473
Reicheidius frondicola	https://www.gbif.org/species/4479768
Pterostichus grajus	https://www.gbif.org/species/8300634
Speluncarius anophthalmus	https://www.gbif.org/species/4472263
