Kingdom,Phylum,Class,Order,Family,Genus,Species
Animalia,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,Baetis rhodani
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Micropsectra,Micropsectra contracta
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Thienemanniella,Thienemanniella flavescens
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Microtendipes,Microtendipes pedellus
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladius,Orthocladius oblidens
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Corynoneura,Corynoneura lobata
Animalia,Arthropoda,Insecta,Psocodea,Ectopsocidae,Ectopsocus,Ectopsocus briggsi
Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,Simulium costatum
Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,Simulium lundstromi/angustitarse
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Paratrissocladius,Paratrissocladius excerptus
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Micropsectra,Micropsectra intrudens
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Eukiefferiella,Eukiefferiella claripennis
Animalia,Arthropoda,Insecta,Diptera,Asilidae,Leptogaster,Leptogaster cylindrica
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Micropsectra,Micropsectra pallidula
Animalia,Arthropoda,Insecta,Psocodea,Stenopsocidae,Graphopsocus,Graphopsocus cruciatus
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Polypedilum,Polypedilum convictum
Animalia,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila suzukii
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Micropsectra,Micropsectra atrofasciata
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Brillia,Brillia longifurca
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Nanocladius,Nanocladius rectinervis
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Micropsectra,Micropsectra notescens
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Tvetenia,Tvetenia discoloripes
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Brillia,Brillia bifida
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Conchapelopia,Conchapelopia melanops
Animalia,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Habrophlebia,Habrophlebia fusca
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus,Tanytarsus eminulus
Animalia,Arthropoda,Insecta,Diptera,Calliphoridae,Calliphora,Calliphora vomitoria
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Eukiefferiella,Eukiefferiella ilkleyensis
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,Cricotopus bicinctus
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Rheocricotopus,Rheocricotopus fuscipes
Animalia,Arthropoda,Insecta,Plecoptera,Nemouridae,Nemurella,Nemurella pictetii
Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Nephrotoma,Nephrotoma appendiculata
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Kiefferulus,Kiefferulus calligaster
Animalia,Arthropoda,Insecta,Psocodea,Ectopsocidae,Ectopsocus,Ectopsocus californicus
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Chaetocladius,Chaetocladius piger
Animalia,Arthropoda,Ostracoda,Podocopida,Candonidae,Candona,Candona candida
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Macropelopia,Macropelopia nebulosa
Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,Tipula maxima
